Complexity,Loss,Equation
1,5.020842759956395,"Sl"
2,2.4261222505090525,"2.6862745097572027"
4,2.1855556677472556,"18.57436336607573 - T"
5,2.0485619136576783,"H * 0.006152114412530031"
7,2.024325810649535,"0.005595745714100228 * (D + H)"
8,1.8275943899030083,"inverse(D) * 93.54339296999844"
9,1.8219950251446602,"square(log1p(D) + -5.24901316055128)"
10,1.7686241528471562,"-7.955223383825804 - saturation(-7.965973537348969, D)"
13,1.76862408487449,"-7.960135083148201 - saturation(D - -0.01247213996008058, -7.969801587634066)"
14,1.7314728345567942,"square(3.390807652633397 - (0.05767553740407186 * D)) + 0.8088370963387591"
16,1.7314728345567931,"0.8088371087364343 + square(-3.39080764870071 + (D + (D * -0.9423244626460968)))"
17,1.7004025933679552,"(Sl * square(-4.210720255865451 + log1p(Sl + D))) + 1.1345871155213865"
19,1.6885747534318858,"(Sl * square(-4.490916690566877 + log1p(Sl + (D + Sl)))) + 0.9431700188398956"
20,1.6629177726563722,"1.628885753548842 + ((square(-4.261372185947661 + log1p(D + Sl)) - 0.0960604931645606) * Sl)"
23,1.662238602602451,"1.6547736487273255 + (Sl * (-0.10065388400228223 + square(log1p(D + (1.3198544954426883 + Sl)) + -4.295261597178745)))"
24,1.6539565593447083,"(Sl * (square(-4.347694853114822 + log1p((Sl * 1.2949369452043815) + D)) + -0.07956996731075172)) + 1.4670024118002414"
25,1.6324399640204657,"(Sl * square(-4.178137632728774 + log1p(Sl + (damping(Sl, -0.7181086263243722) + D)))) + 0.9749309563786014"
27,1.6322195865609557,"(Sl * square(log1p(((damping(-0.6929772166101376, Sl) + Sl) + D) + Sl) + -4.499484425583793)) + 0.8499536967708977"
28,1.6185843886868478,"1.410996263464341 + ((square(-4.258468469488347 + log1p(D + (damping(-0.6934862026675046, Sl) + Sl))) + -0.07322473877460847) * Sl)"
