Complexity,Loss,Equation
1,0.6332044180737096,"x₁"
2,0.37079471678746684,"-1.9740810261824173"
4,0.2502396320882874,"x₁ - 2.313549924127996"
6,0.20209175961539338,"(x₁ - x₅) + -3.0581624828790175"
8,0.18681728348781487,"-4.070136056625787 - ((x₅ - x₁) + x₅)"
10,0.16398272073698833,"(x₁ + x₁) - (x₅ + (3.139345240092107 + x₃))"
12,0.009239707728285928,"32.629552943564036 * (x₁ - (1.3975861326638952 + (x₃ + x₅)))"
14,1.3332957978493148e-5,"(207.29745278610824 - x₄) * (x₁ - (1.383733885598004 + (x₃ + x₅)))"
15,2.0616064073913514e-25,"square(32.629552943564036) * (x₁ - (1.3975861326638952 + (x₃ + x₅)))"
17,1.9524080634477895e-25,"(square(32.629552943564036) - x₄) * (x₁ - (1.3975861326638952 + (x₃ + x₅)))"
19,7.231713260934814e-26,"((square(32.629552943564036) - x₄) * (x₁ - (1.3975861326638952 + (x₃ + x₅)))) - x₂"
20,0.0,"(square(square(17.046991083989692)) * (x₁ - ((x₃ + x₅) + 1.4151857089544806))) - x₁"
