Complexity,Loss,Equation
1,0.6332044180737096,"x₁"
2,0.3707947167874667,"-1.9740810258231285"
4,0.25023963208828737,"x₁ + -2.313549917613357"
6,0.20183456416381085,"-3.0253233954779724 - (x₄ + x₅)"
8,0.18098588472163618,"(-3.934942202878561 - x₅) - (x₄ + x₄)"
9,0.17626063448751206,"x₁ - square(x₁ + -2.263790708866761)"
10,0.13688676924036625,"((x₃ - 5.8645641901857815) * x₄) - 5.72718220009007"
11,0.11384847106040867,"-5.76668526641177 - harmonic(x₃ - x₄, x₄)"
12,0.0022442950172425935,"57.480326006844834 * (x₁ - (x₃ - (-1.4027181993894302 - x₅)))"
14,0.0010158984120676102,"((x₁ - (x₃ - (-1.3980155893583934 - x₅))) * 59.81997844722255) - x₂"
16,0.0004937409283487752,"(62.30124352544951 * ((x₁ + (-1.3951342294175102 - x₅)) - x₃)) - (x₂ + x₂)"
17,0.0003491863613129379,"(59.59545257144621 * (x₁ - (x₃ - (-1.415955294173979 - x₅)))) - inverse(x₂)"
18,0.0002832721428369483,"((63.43636460287628 * (x₁ - (x₃ - (-1.421000300538401 - x₅)))) - (x₂ - x₃)) - x₂"
19,0.000164156587173118,"((62.10166680708629 * (x₁ - (x₃ - (-1.4126033590058855 - x₅)))) - inverse(x₂)) - x₂"
20,3.400654697485475e-5,"(110.98063483964211 * (x₁ - (x₃ - (-1.393658033277134 - x₅)))) - damping(x₂, -0.5455764744087893)"
21,3.3155108966361916e-6,"(((x₁ + (-1.3468655634085107 - x₅)) - x₃) * 101.1816562794589) - (10.738805300975114 * square(x₂))"
22,3.249860971589635e-6,"(85.2030722513281 * (x₁ - (x₃ - (-1.4063918173080396 - x₅)))) - (square(x₁ + x₁) * x₂)"
23,2.567820602744369e-7,"(104.08903425256334 * (x₁ - (x₃ - (-1.3324991387065426 - x₅)))) - square(x₄ - ((x₂ + x₂) + x₂))"
24,1.427153486732116e-9,"((x₁ - (x₃ - (-1.4647152819387286 - x₅))) * 59.59545092594189) + inverse(x₁ - (x₃ - (-1.4296925140984549 - x₅)))"
26,9.628576481783208e-10,"(((x₁ - (x₃ - (-1.4539360967260215 - x₅))) * 62.308016205327355) - inverse((x₃ - (-1.4306802780669368 - x₅)) - x₁)) + x₄"
28,1.7470342533234657e-10,"((x₁ - (x₃ - (-1.4279937924960189 - x₅))) * 85.2030722513281) - (harmonic(x₂, x₁) * square(2.322859888539029 + x₃))"
29,6.455524462273941e-12,"(88.8460614823611 * (x₁ - (x₃ - (-1.4384522597683471 - x₅)))) - (harmonic(x₂, x₁) * square((x₃ - x₅) + x₃))"
30,3.0786213687514587e-12,"((x₁ - (x₃ - (-1.415955294173979 - x₅))) * 55.92214472896586) + ((inverse(x₁ - (x₃ - (-1.386979238668779 - x₅))) * 2.242109049720722) - x₂)"
