Complexity,Loss,Equation
1,0.6332044180737096,"x₁"
2,0.37079471678746684,"-1.9740810258638706"
4,0.25023963208828737,"x₁ - 2.3135499241486515"
6,0.20183456416381088,"-3.025323394834821 - (x₄ + x₅)"
8,0.18396482847454604,"(-3.9622857483252663 + (x₁ - x₅)) - x₄"
9,0.17626063448751206,"x₁ - square(-2.2637907088635356 + x₁)"
10,0.13712164183350944,"(x₁ * (5.085166825337421 - x₃)) - 4.967419912331017"
11,0.11834220155902425,"-216.67366452598426 * threshold(0.9719526145112205, x₁)"
12,0.00224586065204839,"((x₅ + x₃) + (1.4033577231646874 - x₁)) * -57.53781940415513"
14,0.0010185021883409233,"(((1.3968388036672346 - x₁) + (x₅ + x₃)) * -59.71046313231628) - x₂"
16,0.0004946048845266245,"((-62.209188916595075 * ((x₅ + x₃) + (1.394181218050728 - x₁))) - x₂) - x₂"
17,0.00035063135785837093,"(-59.45953714626213 * ((1.4145310038973962 - x₁) + (x₅ + x₃))) - inverse(x₂)"
18,0.0002949329430991672,"((-62.209080192573005 * ((x₅ + x₃) + (1.419340475301856 - x₁))) - x₂) - (x₂ - x₁)"
19,0.00016440438998120685,"((-62.20397859395336 * ((x₃ + x₅) + (1.413639327518561 - x₁))) - inverse(x₂)) - x₂"
21,8.237651233024642e-6,"(((1.349569225381128 - x₁) + (x₅ + x₃)) * -94.10815954239533) - square(x₂ + (x₂ + x₂))"
22,4.508397195437571e-6,"(-81.70921787476107 * ((1.4054510321738594 - x₁) + (x₅ + x₃))) - (x₂ * square(x₁ + x₁))"
23,3.4014619519451656e-7,"(((1.3349408625313128 - x₁) + (x₃ + x₅)) * -105.4678514850565) - square((x₁ + x₂) + (x₂ + x₂))"
25,2.465885491540002e-7,"x₁ + ((((1.340980513986146 - x₁) + (x₅ + x₃)) * -98.71528890525838) - square((x₂ + x₁) + (x₂ + x₂)))"
26,1.9968025842904964e-9,"((-56.79447115526665 * ((x₃ + x₅) + (1.4416067632838958 - x₁))) - inverse((x₅ + x₃) + (1.429821119539596 - x₁))) + x₅"
28,1.4823713733551525e-9,"((-56.79447155804113 * ((x₃ + x₅) + (1.4307117876168767 - x₁))) - (inverse((x₅ + x₃) + (1.4310174002768734 - x₁)) + x₃)) + x₅"
29,1.4119841407234114e-9,"(((-56.79447054728395 + -2.1744642879240335) * ((x₃ + x₅) + (1.4415833777404625 - x₁))) - inverse((x₅ + x₃) + (1.4297998695288472 - x₁))) + x₅"
30,1.2652501009251343e-9,"(((-56.794471427233496 - x₁) * ((x₃ + x₅) + (1.4307133164971402 - x₁))) - (inverse((x₅ + x₃) + (1.4309814846814792 - x₁)) + x₃)) + x₅"
