equation,complexity,loss
0,0,292500000.0
422.25*X3,3,18.335080614361903
0.37*log(X3) + 641.54,5,5.291506496641894
757.21 - 117.97/X3,6,3.7140775454198476
155.50*X1 + 66.49*X4 + 330.46,8,2.8212123377882965
117.83*X1 + 575.97 - 93.01/X3,9,2.038343754683964
920.53 - 198.99/X3 - 45.11/X2,10,1.2202759893850985
919.82 - 208.11/X3 - 17.52*X4/X2,11,1.1940129144860405
-67.88*X6 + 1029.07 - 229.85/X3 - 51.43/X2,13,0.7496711414766571
-58.17*X2*X6 + 161.81*log(X2) + 964.24 - 247.53/X3,14,0.7219913073476771
-46.45*X6 - 217.92*log(1/X3) + 736.34 - 49.21/X2,15,0.6947871930382247
-91.92*X1*X6 + 135.23*X2 + 530.36*X3**0.50 - 30.84/X2,16,0.49824982503759907
-153.74*X1*X6 + 233.54*X1 + 45.72*X2 + 382.47 + 44.46/log(X3),17,0.3355686325533984
406.58*X1**0.50 - 18.16*X2 - 103.30*log(X6) + 115.77 + 56.77/log(X3),19,0.3177527694131926
115.68*X1 + 111.22*X2 + 99.79*X5 + 94.03*log(X2) + 358.92*log(X4) + 38.12/X6,21,0.23455767679516437
273.52*X1 + 145.71*X5 + 156.68*X6 + 126.39*log(X4) - 286.62 + 74.69/X6 + 3.36/X1,23,0.1802139852711653
220.47*X1 + 93.96*X5 + 77.85*X6 + 208.15*log(X4) + 51.43/X6 - 35.45*X3/X2 + 21.64*X5/X2,27,0.18008717974193397
276.73*X1 + 61.22*X2*X5 - 258.64*X2*X6 + 71.08*X3 + 10.09*X4*X5 + 211.39*X4*X6 + 175.21*X4 - 693.60*log(X4),29,0.16275694766606782
477.92*X1*X6 + 338.02*X1*log(X4) + 135.09*X2 - 193.95 - 334.48*X6/X3 + 116.89*log(X4)/X3 + 342.83/(X1*X3),30,0.1188105309910924
515.81*X1 + 168.62*X2*X4 - 435.17*X2*log(X1) + 91.35*X4*X5 - 62.45*X5*log(X1) - 148.37*X6 - 365.63*log(X4) - 33.89/X6,32,0.07515865445871596
(X4*(662.66*X1*X6 + 1.94*X1*log(X2) + 346.71*X1*log(X4) - 484.32*log(X1) + 359.95) - 836.08*X6 + 495.58*log(X2) - 96.93*log(X4))/X4,34,0.04578552361437547
412.59*X1 + 110.30*X2*X4 - 289.61*X2*log(X1) + 40.34*X4*X5 - 40.99*X5*log(X1) + 62.00*X5 - 69.27*X6 - 167.20*log(X4) - 4.82/X6,35,0.03227287588311242
(X3*X4*(698.44*X1*X6 - 73.98*X1*log(X1) - 78.46*X1*log(X4) + 271.84*X3 + 45.04*log(X2)) - 489.21*X6 - 515.85*log(X1) - 861.38*log(X4))/(X3*X4),37,0.024754505144866646
(X3*(792.82*X1*X6 - 291.85*X1*log(X1) + 408.23*X1*log(X4) + 221.45*X3 + 42.87*X5 + 156.57*log(X2)) - 372.31*X6 - 765.18*log(X1) - 930.03*log(X4))/X3,38,0.023719996512214948
230.23*X1*X4 - 238.01*X1*log(X1) + 17.81*X3*X4 - 212.68*X3*log(X1) - 8.05*X4*X6 - 267.40*X4*log(X4) - 167.22*X6*log(X1) - 19.15*log(X1)*log(X4) + 460.67*log(X1*X3) + 230.23 + 230.23/X3,49,0.015459242892828745
