H,Sl,P,T,D,Alestrus
397.3023071,1.445335627,1673.5,15.35000038,48.38101959,0
675.5134888,9.114712715,2343.100098,13.60000038,20.91351128,1
370.6209106,3.326228857,1851.5,15.34999943,62.69791031,0
422.4645996,17.06027222,2307.199951,15.25000095,35.68120193,0
523.2553711,7.285452843,2198.0,14.34999943,42.711586,0
530.0,7.369408131,2308.800049,14.65000057,33.32631683,0
400.5577087,9.467196465,1958.5,15.44999981,44.29908371,0
313.5510864,8.010266304,1763.800049,15.94999981,57.88774109,0
648.3206787,4.180392742,2412.800049,13.70000076,20.66039848,1
440.7710876,15.00122833,2318.300049,15.10000038,39.59837341,0
466.5296021,0.51380986,2341.699951,15.0,21.09811783,0
90.0,1.558193088,1016.100037,18.04999924,70.60906982,0
693.3228149,13.21477032,2749.699951,13.5,17.12724304,0
535.9257813,18.84883499,2564.399902,14.5,25.12869835,0
56.37448883,0.400646955,1015.900024,18.14999962,76.91552734,0
599.0123901,21.90148354,2550.300049,13.79999924,21.56622505,0
208.9084015,3.229883194,1237.299927,17.10000038,55.70523071,0
493.8727112,10.70132351,1750.0,14.29999924,56.39638519,0
313.9047852,2.335456371,1591.400024,15.89999962,65.64954376,0
667.7138062,14.87438393,2255.0,13.55000019,22.02760124,1
360.0,1.08584249,1907.900024,15.85000038,50.3813591,0
208.565506,7.419603348,1171.400024,16.95000076,71.63596344,0
569.1583862,9.636019707,2365.5,14.19999981,45.42085648,0
551.3035278,8.963626862,2417.800049,14.5,45.17084503,0
270.0,1.192107558,1525.900024,16.04999924,66.37332916,0
257.0577087,10.30551338,1345.199951,16.20000076,71.28717041,0
