equation,complexity,loss
0,0,292500000.0
98.69*X1,3,40.87470414421352
35.56*X1 + 80.33,5,3.4724559405183597
101.06*exp(0.27*X1) - 19.19,7,3.039911746493516
5.19*X1*exp(0.82*X1) + 92.64,8,2.8327037327309266
-32.10*X1*X2 + 97.80*X1 + 64.26,9,2.2159003643688293
57.03*X1 - 0.19*exp(2.49*X2) + 73.00,10,1.7007026212441148
50.73*X1 - 130.74*X2 + 80.87*log(X2) + 236.98,12,1.483587302274486
65.68*X1 - 55.61*X2 + 75.39 + 19.71/log(X2),13,1.024711962458975
-32.20*X1*X2 + 95.43*X1 + 45.53 + 12.05/log(X2),14,0.9879764275411832
90.66*X1 - 27.64*X2**2 + 29.50 + 36.43*X2/X1,15,0.7360658379998147
65.36*X1 - 56.63*X2 + 0.92*log(X2) + 76.87 + 19.71/log(X2),16,0.7003937900398974
65.32*X1 - 51.99*X2 + 68.91 + 18.85/log(X2) + 2.96/X1,17,0.6609408202540893
(X1*(123.23*X2 + 64.22) - 167.35*X2**2 + 193.95*X2 - 23.59)/X1,18,0.30964322676599976
(X1*(125.35*X1 - 20.23*X2**2 - 32.94*X2 - 31.11) + 51.67*X2 + 18.79)/X1,21,0.20246892835826505
115.66*X1 - 150.21*X2 + 64.25*log(X2) + 105.83 + 52.20*X2/X1 + 2.88/(X1*X2),22,0.20145542691365712
(X1*(30.91*X1*X2 + 53.56*X1 - 46.47*X2**2 + 17.48*X2 + 29.63) + 31.10*X2 + 6.75)/X1,25,0.14107037863391422
(X1*(59.66*X1*X2 + 13.07*X1 - 149.63*X2*log(X2) + 9.50*X2 + 15.21*log(X2) + 26.86) + 25.06*X2 + 10.42)/X1,29,0.11993577342187693
12.66*X1*X2 + 83.19*X1 - 29.46*X2**2 - 4.23*X2 + 32.67 - 14.38/X2 + 52.57/X1 - 1.06/(X1*X2),30,0.11897774549215319
(X1**2*(38.77*X1*X2 - 63.05*X2**2 + 101.13*X2 + 117.58) - X1*(71.31*X2 + 38.62) + 36.75*X2 + 5.69)/X1**2,32,0.0861274355768137
62.62*X1*X2 - 27.09*X2**2*log(X1*X2) + 52.74*X2*log(X1) + 83.72*exp(-0.28*X1) - 50.25*X2*log(X1*X2)/X1 + 15.11*log(X1)/X1,36,0.05247727563738031
63.01*X1*X2 - 43.89*X1*log(X1) + 42.65*X1 - 37.59*X2**2*log(X1*X2) + 52.51*X2*log(X1)*log(X1*X2) - 32.35*X2 + 13.36*log(X1) + 47.20,37,0.042302594188439284
