run,equation,complexity,train,test,skeleton,loo_tss
1,1.77 - 4.98*D,3,0.195945945945946,0.0,C - C*D,0.3148936170212766
1,9.59*H - 6.47*P - 4.62,5,0.5,0.0,C*H - C*P - C,0.5574468085106383
1,50.29*H - 39.96*P - 5.49*Sl + 3.77,7,0.75,1.0,C*H - C*P - C*Sl + C,0.5787234042553191
1,220.24*H - 117.92*P - 13.94*Sl + 75.58*T - 568.88,9,1.0,1.0,C*H - C*P - C*Sl + C*T - C,0.5361702127659576
1,-3.49*D + 232.91*H - 122.5*P - 14.31*Sl + 83.84*T - 627.85,11,1.0,1.0,C*D + C*H - C*P - C*Sl + C*T - C,0.7148936170212767
2,2.01 - 4.77*D,3,0.195945945945946,0.0,C - C*D,0.3148936170212766
2,9.41*H - 5.48*P - 5.03,5,0.5,0.0,C*H - C*P - C,0.5574468085106383
2,72.64*H - 19.13*P + 42.83*T - 391.8,7,0.75,0.0,C*H - C*P + C*T - C,0.9361702127659575
2,5.79*D + 94.94*H - 24.8*P + 54.27*T - 505.36,9,1.0,0.0,C*D + C*H - C*P + C*T - C,0.7574468085106383
2,5.89*D + 86.69*H - 23.57*P - 0.22*Sl + 48.02*T - 448.33,11,1.0,0.0,C*D + C*H - C*P - C*Sl + C*T - C,0.7148936170212767
3,2.2 - 5.66*D,3,0.1973684210526314,0.0,C - C*D,0.3148936170212766
3,7.78*H - 4.6*P - 4.48,5,0.25,1.0,C*H - C*P - C,0.5574468085106383
3,27.77*H - 18.65*P - 3.44*Sl - 0.55,7,0.75,0.0,C*H - C*P - C*Sl - C,0.5787234042553191
3,-59.23*D + 35.05*H - 32.2*P - 7.0*Sl + 68.63,9,1.0,0.0,C*D + C*H - C*P - C*Sl + C,0.7361702127659575
3,-14.12*D + 33.65*H - 47.07*P - 11.03*Sl - 37.04*T + 339.64,11,1.0,0.0,C*D + C*H - C*P - C*Sl - C*T + C,0.7148936170212767
4,1.95 - 4.88*D,3,0.2236842105263159,-0.1111111111111111,C - C*D,0.3148936170212766
4,10.16*H - 7.0*P - 4.54,5,0.75,1.0,C*H - C*P - C,0.5574468085106383
4,-16.93*D - 8.07*P - 8.69*T + 98.17,7,0.75,1.0,C*D - C*P - C*T + C,0.7574468085106383
4,-19.44*D - 23.55*P - 3.48*Sl - 30.25*T + 307.91,9,1.0,1.0,C*D - C*P - C*Sl - C*T + C,0.7361702127659575
4,-18.04*D - 20.46*H - 36.31*P - 6.12*Sl - 72.15*T + 703.05,11,1.0,1.0,C*D - C*H - C*P - C*Sl - C*T + C,0.7148936170212767
5,1.91 - 4.78*D,3,-0.0263157894736841,0.8888888888888888,C - C*D,0.3148936170212766
5,7.75*H - 6.51*P - 2.86,5,0.5,0.0,C*H - C*P - C,0.5574468085106383
5,19.38*H - 16.33*P - 2.85*Sl - 1.39,7,0.5,0.8888888888888888,C*H - C*P - C*Sl - C,0.5787234042553191
5,-16.07*D - 38.23*P - 5.3*Sl - 26.58*T + 304.09,9,1.0,0.0,C*D - C*P - C*Sl - C*T + C,0.7361702127659575
5,-30.96*D - 18.72*H - 67.42*P - 9.3*Sl - 61.19*T + 685.13,11,1.0,0.0,C*D - C*H - C*P - C*Sl - C*T + C,0.7148936170212767
