run,equation,complexity,train,test,skeleton,loo_tss
1,-1.11231960000000,1,0.0,0.0,C,0.0
1,-1.5024385*D,2,0.0,0.0,C*D,0.3148936170212766
1,"cond(1.7858285 - H, -64.5681)",4,0.9189189189189187,1.0,"cond(C - H, C)",0.8085106382978724
1,"cond(1.7858285 - H, -64.5681) + 0.14378811",5,0.9189189189189187,1.0,"cond(C - H, C) + C",-0.06382978723404253
1,"cond(1.7861755 - H, -41.898964) + inv(P)",6,0.9189189189189187,1.0,"cond(C - H, C) + inv(P)",0.672340425531915
1,"1653.1663*cond(D - 0.5483148, 5.967375 - T)",6,0.9189189189189187,1.0,"C*cond(D - C, C - T)",-0.8
1,"cond(1.7856895 - H, -405.35715) + inv(2.3805397 - P)",7,0.75,1.0,"cond(C - H, C) + inv(C - P)",0.40851063829787226
1,"-Sl + 1849.3458*cond(D - 0.5462548, 5.967282 - T)",7,0.75,1.0,"-Sl + C*cond(D - C, C - T)",-0.8
1,"cond(1.7921704 - H, -121.04211) + inv(1.2593055*H - P)",8,0.75,1.0,"cond(C - H, C) + inv(C*H - P)",0.40851063829787226
1,"cond(1.7921704 - H, -121.04211) + inv(1.25930540111193*H - P)",8,0.75,1.0,"cond(C - H, C) + inv(C*H - P)",0.40851063829787226
1,"cond(1.7278212 - H, -190.1267) + inv(0.227768046573409*H - 0.18067381*P)",9,1.0,1.0,"cond(C - H, C) + inv(C*H - C*P)",0.3148936170212766
1,"cond(1.7921704 - H, -121.04211) + inv(1.2618492*H - P)*exp(Sl)",10,1.0,1.0,"cond(C - H, C) + inv(C*H - P)*exp(Sl)",0.451063829787234
2,-1.11238920000000,1,0.0,0.0,C,0.0
2,-1.3838195*D,2,0.0,0.0,C*D,0.3148936170212766
2,"cond(2.1327677 - H, -16.845978)",4,0.945945945945946,-0.0999999999999999,"cond(C - H, C)",0.8085106382978724
2,inv(H - 2.1484563) - 1.9305692,4,0.5,-0.0999999999999999,inv(H - C) - C,-0.004255319148936176
2,inv(H - 2.1484563) - exp(D),5,0.5,-0.0999999999999999,inv(H - C) - exp(D),0.5574468085106383
2,-2953.797*1.2817714**P + 2953.797*H,6,1.0,0.0,C*C**P + C*H,0.978723404255319
2,-(1238.5514*H - 3719.09353338266)*(inv(2.8199258 - H) - 1.4076397),7,1.0,-0.0999999999999999,-(C*H - C)*(inv(C - H) - C),0.9361702127659575
2,-D*T*(1238.5514*H - 3719.09353338266)*(inv(2.8088005 - H) - 1.4076397),10,1.0,-0.0999999999999999,-D*T*(C*H - C)*(inv(C - H) - C),0.9361702127659575
3,-1.12556360000000,1,0.0,0.0,C,0.0
3,-1.5376289*D,2,0.0,0.0,C*D,0.3148936170212766
