run,equation,complexity,train,test,skeleton,loo_tss
1,-0.441221200000000,1,0.0,0.0,C,-0.9189189189189189
1,0.74627495 - D,2,0.514367816091954,0.0833333333333332,C - D,0.5837837837837838
1,"cond(D - 1.6019238, -15.256088)",4,0.4827586206896552,0.5,"cond(D - C, C)",0.45945945945945943
1,1.0440674 - D**2,4,0.4942528735632183,0.0833333333333332,C - D**C,0.5837837837837838
1,-D + inv(3.4355295 - Sl),4,0.3333333333333332,0.2083333333333332,-D + inv(C - Sl),0.5711711711711711
1,"cond(D - 1.6019238, -15.256088) - log(D)",6,0.4942528735632183,0.0833333333333332,"cond(D - C, C) - log(D)",0.5171171171171172
1,-D + inv(-D*(Sl - 3.4355285)),5,0.4166666666666667,0.5416666666666665,-D + inv(-D*(Sl - C)),0.5441441441441441
1,-D**3.5355036 + inv(H - 0.87171495),6,0.6609195402298851,0.4166666666666665,-D**C + inv(H - C),0.5963963963963965
1,"cond(D - 1.3764316, -102.24033) + 0.16217363*inv(H - 0.98825014)",8,0.6752873563218391,0.4166666666666665,"cond(D - C, C) + C*inv(H - C)",0.5963963963963965
1,-D**2 + inv(-(H - 0.9873481)*(Sl - 3.4355285)),8,0.514367816091954,0.4166666666666665,-D**C + inv(-(H - C)*(Sl - C)),0.7045045045045044
1,H + inv(-(H - 0.9882463)*(Sl - 3.4355285)) - exp(D),8,0.7298850574712645,0.5416666666666665,H + inv(-(H - C)*(Sl - C)) - exp(D),0.5441441441441441
1,-3.1125367*D + H + inv(-(H - 0.9882463)*(Sl - 3.4355285)),8,0.6810344827586206,0.5416666666666665,C*D + H + inv(-(H - C)*(Sl - C)),0.6108108108108108
1,P + inv(-(H - 0.9882463)*(Sl - 3.4355285)) - exp(D) - 1.1140558,9,0.6810344827586206,0.5416666666666665,P + inv(-(H - C)*(Sl - C)) - exp(D) - C,0.5441441441441441
1,"cond(1.2970859 - D, H) + inv(-(H - 0.9882463)*(Sl - 3.4355285)) - exp(D)",11,0.7298850574712645,0.5416666666666665,"cond(C - D, H) + inv(-(H - C)*(Sl - C)) - exp(D)",0.5441441441441441
2,-0.441191400000000,1,0.0,0.0,C,-0.9189189189189189
2,0.653099 - D,2,0.396551724137931,0.3333333333333332,C - D,0.5837837837837838
2,"cond(D - 1.5010502, -15.249301)",4,0.4137931034482758,0.75,"cond(D - C, C)",0.45945945945945943
2,"cond(D - 1.5010502, -15.249301) - 0.17421582",5,0.0,0.0,"cond(D - C, C) - C",-0.18918918918918914
2,"cond(0.91496056 - H, -18.50183) - log(D)",6,0.3908045977011494,0.3333333333333332,"cond(C - H, C) - log(D)",0.5171171171171172
2,"-D**2 + cond(1.2531986 - H, P)",7,0.132183908045977,0.0,"-D**C + cond(C - H, P)",0.5027027027027029
2,"cond(2.071049 - H, -6.8781195) + cond(H - 0.9157182, T)",8,0.5,-0.125,"cond(C - H, C) + cond(H - C, T)",0.4882882882882882
2,"-D*T + cond(1.2531986 - H, 6.072991) + 3.9996724",7,0.4454022988505746,0.3333333333333332,"-D*T + cond(C - H, C) + C",0.4504504504504503
2,"cond(D - 1.1590036, -12.323109) - inv(4.375972 - exp(D)) + 0.57422626",9,0.5919540229885056,0.3333333333333332,"cond(D - C, C) - inv(C - exp(D)) + C",0.5585585585585586
2,"(D - 1.5003002)*(cond(D - 1.4751654, -2269.2212) - cond(D - 1.1839979, -553.407))",10,0.7241379310344827,0.6666666666666665,"(D - C)*(cond(D - C, C) - cond(D - C, C))",0.5837837837837838
2,"cond(0.91521055 - H, -44.257465) - inv(4.1549163 - exp(-0.9445459*H + P))",10,0.5,0.3333333333333332,"cond(C - H, C) - inv(C - exp(C*H + P))",0.218018018018018
2,"Sl*cond(D - 1.1681719, -8.559545) - inv((6.1603894 - exp(P))*log(D))",11,0.3333333333333332,0.2083333333333332,"Sl*cond(D - C, C) - inv((C - exp(P))*log(D))",0.5567567567567568
2,"Sl*cond(D - 0.78714925, -9.052234) - inv(-(D - 1.098672)*(exp(P) - 6.1603894))",11,0.3333333333333332,-0.125,"Sl*cond(D - C, C) - inv(-(D - C)*(exp(P) - C))",0.25225225225225234
3,-0.458218840000000,1,0.0,0.0,C,-0.9189189189189189
3,0.86271995 - D,2,0.3666666666666667,0.5238095238095237,C - D,0.5837837837837838
3,"cond(D - 1.729448, -24.762808)",4,0.5,0.2857142857142856,"cond(D - C, C)",0.45945945945945943
3,"cond(D - 1.7322526, -51.47946) - 0.1115696",5,0.0,0.0,"cond(D - C, C) - C",-0.18918918918918914
3,"cond(D - 1.729448, -24.762808) - log(D)",6,0.3333333333333335,0.8571428571428572,"cond(D - C, C) - log(D)",0.5171171171171172
3,"(D - 1.7228315)*cond(D - 1.651829, -665.27106)",6,0.5,0.2857142857142856,"(D - C)*cond(D - C, C)",0.43243243243243246
3,"cond(D - 1.6927224, -58.445854) + cond(H - 2.4621394, 20.956902)",8,0.5,0.4285714285714286,"cond(D - C, C) + cond(H - C, C)",0.43243243243243246
3,"cond(D - 1.4241168, -8.278825) + inv(exp(D) - 5.2745266)",8,0.0833333333333332,0.0,"cond(D - C, C) + inv(exp(D) - C)",0.3819819819819821
3,"(T - inv(D - 1.6035416))*cond(D - 1.4384243, -39.681328)",8,0.7666666666666666,0.4285714285714286,"(T - inv(D - C))*cond(D - C, C)",0.43423423423423424
3,"(T - inv(D - 1.5996656))*(cond(D - 1.3991691, -39.681328) + 0.021549515)",9,0.7666666666666666,0.4285714285714286,"(T - inv(D - C))*(cond(D - C, C) + C)",0.29009009009009024
3,"-(cond(D - 1.4216917, -46.57685) + 0.01081742)*(inv(D - 1.5996692) - exp(P))",10,0.7666666666666666,0.4285714285714286,"-(cond(D - C, C) + C)*(inv(D - C) - exp(P))",0.1819819819819819
3,"cond(D - 1.4734787, -8.296555) + cond(H - 2.328044, 20.956902) + inv(exp(D) - 5.2745266)",12,0.4166666666666667,0.0,"cond(D - C, C) + cond(H - C, C) + inv(exp(D) - C)",0.43423423423423424
3,"(T - inv(D - 1.5999956))*cond(D - 1.3991691, -39.681328) + cond(H - 2.4621394, 20.956902)",12,0.7666666666666666,0.4285714285714286,"(T - inv(D - C))*cond(D - C, C) + cond(H - C, C)",0.4882882882882882
4,-0.458146400000000,1,0.0,0.0,C,-0.9189189189189189
4,0.7647692 - D,2,0.3999999999999999,0.5238095238095237,C - D,0.5837837837837838
4,"cond(D - 1.5722342, -19.776878)",4,0.5,0.4285714285714286,"cond(D - C, C)",0.45945945945945943
4,"cond(D - 1.5756706, -19.75894) - 0.11160364",5,0.0,0.0,"cond(D - C, C) - C",-0.18918918918918914
4,"cond(D - 1.5722342, -19.776878) - log(D)",6,0.3833333333333333,0.5238095238095237,"cond(D - C, C) - log(D)",0.5171171171171172
4,"(D - 1.5727657)*cond(D - 1.5481389, -1696.364)",6,0.5,0.4285714285714286,"(D - C)*cond(D - C, C)",0.43243243243243246
4,"cond(D - 1.5843602, -20.525576) - cond(D - 1.3440174, Sl)",8,0.6333333333333333,0.5714285714285714,"cond(D - C, C) - cond(D - C, Sl)",0.6234234234234235
4,"cond(D - 1.3116688, -10.943816) + inv(exp(D) - 4.715064)",8,0.1666666666666667,0.0,"cond(D - C, C) + inv(exp(D) - C)",0.3819819819819821
4,"-1531.6213*cond(D - 1.5455761, -1.5734726) - 1531.6213*cond(D - 1.3479402, D)",10,0.8,0.5714285714285714,"C*cond(D - C, C) - C*cond(D - C, D)",0.5693693693693693
4,"D + cond(D - 1.3076193, -12.529545) + inv(exp(D) - 4.715064)",9,0.8,0.5714285714285714,"D + cond(D - C, C) + inv(exp(D) - C)",0.36936936936936937
4,"(D + cond(D - 1.5455761, -1.5734726))*(cond(D - 1.3479402, -1531.6213) + 0.3577843)",10,0.8,0.5714285714285714,"(D + cond(D - C, C))*(cond(D - C, C) + C)",0.5693693693693693
4,"cond(2.9913278 - P, Sl) + cond(D - 1.3116688, -11.198565) + inv(exp(D) - 4.715064)",12,0.6666666666666665,-0.0952380952380953,"cond(C - P, Sl) + cond(D - C, C) + inv(exp(D) - C)",0.42342342342342354
4,"(D + cond(D - 1.5455761, -1.5734726))*(cond(D - 1.3479402, -1696.364) + inv(P - Sl))",12,0.8666666666666667,0.5714285714285714,"(D + cond(D - C, C))*(cond(D - C, C) + inv(P - Sl))",0.39639639639639634
5,-0.458152400000000,1,0.0,0.0,C,-0.9189189189189189
5,0.75006324 - D,2,0.3666666666666667,0.6666666666666665,C - D,0.5837837837837838
5,"cond(D - P, -25.074968)",4,0.5333333333333332,0.2857142857142856,"cond(D - P, C)",0.3783783783783785
5,"Sl*cond(D - 1.2902231, -5.55057)",5,0.6833333333333333,0.3809523809523809,"Sl*cond(D - C, C)",0.5423423423423424
5,"Sl*(cond(D - 1.2887495, -5.7202587) + 0.171417)",6,0.6833333333333333,0.3809523809523809,"Sl*(cond(D - C, C) + C)",0.4774774774774775
