run,equation,complexity,train,test,skeleton,loo_tss
1,0.38567808367130124 - D,2,0.0,0.0,C - D,0.5837837837837838
1,2.3870398764055842 - exp(D),3,0.5287356321839081,0.0833333333333332,C - exp(D),0.5171171171171172
1,1.3930640739320763**P - exp(D),5,0.5287356321839081,0.0833333333333332,C**P - exp(D),0.5837837837837838
1,(1 - D**3)/D,6,0.4942528735632183,0.0833333333333332,(C - D**C)/D,0.5837837837837838
1,2.7427191118810126**(-H + P) - exp(D),6,0.396551724137931,0.0833333333333332,C**(-H + P) - exp(D),0.5567567567567568
1,1.9169336067809317*P*(-D*exp(Sl) - D + exp(Sl))/(exp(Sl) + 1),13,0.514367816091954,0.0833333333333332,C*P*(-D*exp(Sl) - D + exp(Sl))/(exp(Sl) + C),0.5837837837837838
2,-0.8472978855931296,1,0.0,0.0,C,-0.9189189189189189
2,0.45393667737145205 - D,2,0.0833333333333332,0.0,C - D,0.5837837837837838
2,2.6913984845075056 - exp(D),3,0.3908045977011494,0.3333333333333332,C - exp(D),0.5171171171171172
2,-2.0054740305122447**D + H,4,0.2931034482758621,0.3333333333333332,C**D + H,0.463063063063063
2,(0.7411312774230667 - D)*exp(H),4,0.4454022988505746,0.3333333333333332,(C - D)*exp(H),0.5045045045045045
2,P*(1.0 - 1.3236053426158956*D),4,0.4109195402298851,0.3333333333333332,P*(C - C*D),0.5171171171171172
2,-D*H**H*(D - 0.7047600388237417),7,0.4454022988505746,0.3333333333333332,-D*H**H*(D - C),0.4774774774774775
3,-0.9162907316277031,1,0.0,0.0,C,-0.9189189189189189
3,0.6956391076918019 - D,2,0.3,-0.1428571428571429,C - D,0.5837837837837838
3,1.4018458556371598 - D**D,4,0.55,0.7142857142857144,C - D**D,0.6504504504504505
3,T - exp(D) - 3.166146082890785,4,0.55,0.5714285714285714,T - exp(D) - C,0.5567567567567568
3,-D**D + 1/D,7,0.3333333333333335,0.8571428571428572,-D**D + C/D,0.5171171171171172
3,(D**0.9448549656541558 - D)*exp(D + P),7,0.3333333333333335,0.8571428571428572,(D**C - D)*exp(D + P),0.5567567567567568
4,0.4400761424489763 - D,2,0.0,0.0,C - D,0.5837837837837838
4,-0.24957114623546842*exp(D),3,0.0,0.0,C*exp(D),0.6504504504504505
4,0.9142701709991045 - D**2,4,0.4166666666666667,0.5238095238095237,C - D**C,0.5837837837837838
4,0.36745999246890276*T - exp(D),4,0.3833333333333333,0.3809523809523809,C*T - exp(D),0.5837837837837838
4,-0.0003618493982681241*D**(P*T),5,0.0,0.0,C*D**(P*T),0.5693693693693693
4,-0.004776057687786651*exp(D**2*P),6,0.0,0.0,C*exp(D**C*P),0.5837837837837838
4,-4.236285999207202e-5*D**(P*(P + T)),7,0.1666666666666667,0.3333333333333332,C*D**(P*(P + T)),0.5693693693693693
4,-4.1946661474143724e-5*(D*P)**(D**3*P),9,0.0,0.0,C*(D*P)**(D**C*P),0.5837837837837838
4,D**(H*P*Sl)*(-D**Sl + Sl),10,0.5333333333333332,0.3809523809523809,D**(H*P*Sl)*(-D**Sl + Sl),0.5837837837837838
4,D**(H**2*P*Sl**2)*(-D**Sl + Sl),14,0.5333333333333332,0.3809523809523809,D**(H**C*P*Sl**C)*(-D**Sl + Sl),0.6108108108108108
5,-0.9162907391797463,1,0.0,0.0,C,-0.9189189189189189
5,-D,1,0.0,0.0,-D,0.5837837837837838
5,0.510766592989805 - D,2,0.0833333333333332,0.6666666666666665,C - D,0.5837837837837838
5,2.993404097785228 - exp(D),3,0.4666666666666668,0.3809523809523809,C - exp(D),0.5171171171171172
5,1.4348707197873911 - D**(D + 1),5,0.55,0.3809523809523809,C - D**(D + C),0.6504504504504505
5,(-1.4034901479905249*D + Sl)/(P - Sl),6,0.4833333333333334,0.3333333333333332,(C*D + Sl)/(P - Sl),0.3027027027027027
5,D*(-D + Sl)/(P - Sl),6,0.5166666666666666,0.5238095238095237,D*(-D + Sl)/(P - Sl),0.1963963963963964
5,D**2*(-D + Sl)/(P - Sl),8,0.5166666666666666,0.5238095238095237,D**C*(-D + Sl)/(P - Sl),0.3027027027027027
5,(-D*P + D*Sl - D + Sl)/(P - Sl),9,0.3833333333333333,0.0,(-D*P + D*Sl - D + Sl)/(P - Sl),0.38378378378378386
