run,equation,complexity,train,test,skeleton,loo_r2
1,0.548811636094026*exp(1.07*H),4,0.2781603108636907,0.1940446271418333,C*exp(C*H),0.4756708808990291
1,2.33964685192599*exp(-0.63*D + 0.6*H),6,0.2923140266355822,0.2387736343637658,C*exp(C*D + C*H),0.5005450391119302
1,3.66929666761924*exp(-0.66*D + 1.14*H - 0.61*P),8,0.298014376983638,0.2951397850978834,C*exp(C*D + C*H - C*P),0.5156872533872658
1,6.11460849851602e-8*exp(-0.74*D + 3.99*H - 1.17*P + 2.65*T),11,0.3126636660890358,0.3169544602889094,C*exp(C*D + C*H - C*P + C*T),0.5309406842022009
1,4.18154478457701e-8*exp(-0.72*D + 4.01*H - 1.14*P + 0.02*Sl + 2.69*T),13,0.3127618144792276,0.3104066850302027,C*exp(C*D + C*H - C*P + C*Sl + C*T),0.49174402084951374
2,0.522045776761016*exp(0.86*H),4,0.2767754842419239,0.2078211803487691,C*exp(C*H),0.4756708808990291
2,1.19721736312181*exp(1.77*H - 0.9*P),6,0.302233491427778,0.1907095562047258,C*exp(C*H - C*P),0.48379700477833165
2,2.15976625378492*exp(2.16*H - 1.25*P - 0.21*Sl),8,0.3225319616233847,0.0526176327824012,C*exp(C*H - C*P - C*Sl),0.44057385309136876
2,8.00446891429635*exp(-0.46*D + 1.73*H - 1.17*P - 0.2*Sl),10,0.3362587692711798,0.1459874703066617,C*exp(C*D + C*H - C*P - C*Sl),0.48872417820113023
2,1.48898644607654e-7*exp(-0.45*D + 3.88*H - 1.52*P - 0.21*Sl + 1.96*T),13,0.3461174031239949,0.1359277408437618,C*exp(C*D + C*H - C*P - C*Sl + C*T),0.49174402084951374
3,0.527292424043049*exp(0.96*H),4,0.2791679320528135,0.1742890345267868,C*exp(C*H),0.4756708808990291
3,1.04081077419239*exp(1.85*H - 0.76*P),6,0.2980194168315653,0.174915596886217,C*exp(C*H - C*P),0.48379700477833165
3,1.28822568930321e-9*exp(4.53*H - 1.09*P + 2.53*T),9,0.3193035791292804,0.1518357272113274,C*exp(C*H - C*P + C*T),0.49516807113520167
3,1.67073865487308e-9*exp(-0.58*D + 4.28*H - 1.09*P + 2.66*T),11,0.3290341201386793,0.2324976197922078,C*exp(C*D + C*H - C*P + C*T),0.5309406842022009
3,2.72717380565576e-9*exp(-0.61*D + 4.23*H - 1.1*P - 0.02*Sl + 2.61*T),13,0.3292209269154132,0.2400982215305429,C*exp(C*D + C*H - C*P - C*Sl + C*T),0.49174402084951374
4,12.807103782663*exp(-1.35*D),4,0.2724876154259046,0.246303313411523,C*exp(C*D),0.47307119159078126
4,40.4473043600674*exp(-1.67*D - 0.3*P),6,0.2787931717057018,0.1647807414203074,C*exp(C*D - C*P),0.4525502294421201
4,33.7844284638496*exp(-1.33*D + 0.93*H - 1.01*P),8,0.308650537506461,0.2154011828000863,C*exp(C*D + C*H - C*P),0.5156872533872658
4,41.2643941086108*exp(-1.36*D + 1.04*H - 1.08*P - 0.13*Sl),10,0.3156120411602686,0.2283070455268652,C*exp(C*D + C*H - C*P - C*Sl),0.48872417820113023
4,0.00416932969790411*exp(-1.35*D + 2.08*H - 1.16*P - 0.1*Sl + 0.95*T),12,0.3190486601135467,0.2655136538557743,C*exp(C*D + C*H - C*P - C*Sl + C*T),0.49174402084951374
5,0.594520547970194*exp(0.93*H),4,0.2525770083630468,0.2953770249659223,C*exp(C*H),0.4756708808990291
5,1.16183424272828*exp(1.67*H - 0.75*P),6,0.2729534495150537,0.298124584629602,C*exp(C*H - C*P),0.48379700477833165
5,7.690609198879*exp(-0.83*D + 1.25*H - 0.85*P),8,0.2986674880964585,0.3144199978828019,C*exp(C*D + C*H - C*P),0.5156872533872658
5,5.65910547787311e-9*exp(-0.87*D + 3.93*H - 1.2*P + 2.25*T),11,0.319377440619526,0.2908944237887046,C*exp(C*D + C*H - C*P + C*T),0.5309406842022009
5,1.23451816475091e-8*exp(-0.87*D + 3.87*H - 1.22*P - 0.04*Sl + 2.17*T),13,0.3197045523264954,0.2977311765067213,C*exp(C*D + C*H - C*P - C*Sl + C*T),0.49174402084951374
