run,equation,complexity,train,test,skeleton,loo_r2
1,2.22575163521395**H,3,0.2484463232461861,0.1932669870686331,C**H,0.44019872400977345
1,(H + 1.5358194749129181)/D,4,0.3004172544928913,0.2542335776589747,(H + C)/D,0.5419953640686231
1,(H + 15.260619115027552)/(D*T),5,0.3025671985259472,0.242437780441081,(H + C)/(D*T),0.5428081801413404
1,-1.2832712494830179*D*H - H + P + exp(H),8,0.302024238247097,0.2252406731169521,C*D*H - H + P + exp(H),0.3259831977425436
2,0**T,2,-26.63233473003836,-23.24169969854125,C**T,-50.12018984272866
2,3.616659651492994/D,3,0.2609484647299591,0.2367548830474795,C/D,0.49157012228504504
2,0.35348059496783707*exp(H),3,0.2664564096264654,0.1762678215695955,C*exp(H),0.4852400014921907
2,(H + 1.530966402021697)/D,4,0.291786351216568,0.2235604065214971,(H + C)/D,0.5419953640686231
2,exp(2*H - P),4,0.2965383599745927,0.1753983337973997,exp(C*H - P),0.5153487375504138
2,4.759341124102596**H/P**2,7,0.3038409589822102,0.2019168638801586,C**H/P**C,0.5171172325176983
2,(D + exp(H))/(D*P),6,0.3090561804093499,0.2559719994062562,(D + exp(H))/(D*P),0.6012549595688329
2,(D + exp(1.0136348332674319*H))/(D*P),7,0.3107749848926675,0.2622363255003682,(D + exp(C*H))/(D*P),0.5897069140320623
2,4.441041321554973**H/(P**2 - P + Sl),9,0.3179375726446162,0.1356644785529707,C**H/(P**C - P + Sl),0.5329097510436768
2,3.3749401522231928**H/(-H*P + P**2 + Sl),10,0.3244486661145661,0.1016268008057988,C**H/(-H*P + P**C + Sl),0.5225502043830796
3,exp(D),2,-0.7710677804176298,-0.9986896242699892,exp(D),-1.5726257646596258
3,P/D,3,0.2650182063051587,0.2649879331184007,P/D,0.4932733649607176
3,0.49344712362893756*exp(H),3,0.2786775881887021,0.1712981464032705,C*exp(H),0.4852400014921907
3,3.382870996879005**H/P,5,0.2894534703362609,0.1970638130944108,C**H/P,0.5085599962867777
3,2.337562084695759**H - H,4,0.2936694437481845,0.1818832490414319,C**H - H,0.5159324305599359
3,(2*H)**(1.7693262386876347 - D),5,0.3218365289472423,0.2702165534609096,(C*H)**(C - D),0.5862153287018643
3,D*exp(-6.533505334589963*H**2) + H**2,9,0.3292395628722118,0.1305912029102219,D*exp(C*H**C) + H**C,0.5645503808677415
3,(H*(2.9724410037503888*H - P) + 1)/(D*H),8,0.3397140690192262,-0.1679404523580019,(H*(C*H - P) + C)/(D*H),0.4017032156943723
4,H,1,0.0158888689565918,0.0775553110519789,H,-0.04253491177425128
4,P/D,3,0.2484080266995278,0.3190396149741197,P/D,0.4932733649607176
4,(3.7395656123561567 - D)/D,4,0.2759324482491314,0.276800357641402,(C - D)/D,0.5279208212710778
4,(2*H)**(1.731962513961698 - D),5,0.2962583995660347,0.3705137395179829,(C*H)**(C - D),0.5862153287018643
4,19.693717364610286*exp(-D + H - P),5,0.2988295289031426,0.2126504887156218,C*exp(-D + H - P),0.5102085436347419
4,9.143535966078665*exp(-D + H)/P**2,8,0.3127179240685473,0.3330350075602666,C*exp(-D + H)/P**C,0.5787025795175267
5,exp(H),2,-0.0660842725040897,-0.4770782999023644,exp(H),-0.08696310469733448
5,2.990064878467779/D,3,0.2550170697103934,0.3094585096389347,C/D,0.49157012228504504
5,(H + 1.1106161667494692)/D,4,0.2741417382476137,0.3543935156613577,(H + C)/D,0.5419953640686231
5,(3.957080354738821 - D)**H/P,6,0.2973974390070558,0.3469346925405991,(C - D)**H/P,0.5762128137453741
5,2.304408390175294**H + D - P**D,7,0.3027008762346477,0.2916752395699855,C**H + D - P**D,0.5374707968948069
5,2.304408394562025**H + D - P**D,7,0.3027008766384621,0.2916752369566665,C**H + D - P**D,0.5374707968948069
5,1.889714827224324**H - D*H**D + H,8,0.3065374441826461,0.3165408475726982,C**H - D*H**D + H,0.5842944171849405
5,-D*H - D + H**2 - P + 5.43435723816292,8,0.3073658022027805,0.3335999657381302,-D*H - D + H**C - P + C,0.5817666727617805
